,a2i,vowels,binary
5534,garcia,3,0000000000000000000000000000110011111000011110010110001111010011100001
5535,boolean,4,0000000000000000000001100010110111111011111101100110010111000011101110
5536,spanned,2,0000000000000000000001110011111000011000011101110110111011001011100100
5537,pomdp,1,0000000000000000000000000000000000011100001101111110110111001001110000
5538,sicl,1,0000000000000000000000000000000000000000001110011110100111000111101100
5539,lit89,1,0000000000000000000000000000000000000110110011010011110100111000111001
5540,compete,3,0000000000000000000001100011110111111011011110000110010111101001100101
5541,solu,2,0000000000000000000000000000000000000000001110011110111111011001110101
5542,core,2,0000000000000000000000000000000000000000001100011110111111100101100101
5543,vestibulo,4,0000000111011011001011110011111010011010011100010111010111011001101111
5544,led,1,0000000000000000000000000000000000000000000000000110110011001011100100
5545,cyclopean,3,0000000110001111110011100011110110011011111110000110010111000011101110
5546,vij,1,0000000000000000000000000000000000000000000000000111011011010011101010
5547,uttered,3,0000000000000000000001110101111010011101001100101111001011001011100100
5549,tinuous,4,0000000000000000000001110100110100111011101110101110111111101011110011
5550,dif,1,0000000000000000000000000000000000000000000000000110010011010011100110
5551,display,2,0000000000000000000001100100110100111100111110000110110011000011111001
5552,periphery,3,0000000111000011001011110010110100111100001101000110010111100101111001
5553,vilis,2,0000000000000000000000000000000000011101101101001110110011010011110011
5554,ful,1,0000000000000000000000000000000000000000000000000110011011101011101100
5556,votes,2,0000000000000000000000000000000000011101101101111111010011001011110011
5557,placement,3,0000000111000011011001100001110001111001011101101110010111011101110100
5558,alent,2,0000000000000000000000000000000000011000011101100110010111011101110100
5559,judge,2,0000000000000000000000000000000000011010101110101110010011001111100101
5560,musical,3,0000000000000000000001101101111010111100111101001110001111000011101100
5561,photograph,3,1110000110100011011111110100110111111001111110010110000111100001101000
5562,hornik,2,0000000000000000000000000000110100011011111110010110111011010011101011
5563,vme,1,0000000000000000000000000000000000000000000000000111011011011011100101
5564,thiria,3,0000000000000000000000000000111010011010001101001111001011010011100001
5565,mental,2,0000000000000000000000000000110110111001011101110111010011000011101100
5566,memphis,2,0000000000000000000001101101110010111011011110000110100011010011110011
5567,twinn,1,0000000000000000000000000000000000011101001110111110100111011101101110
5568,nadel,2,0000000000000000000000000000000000011011101100001110010011001011101100
5569,latency,2,0000000000000000000001101100110000111101001100101110111011000111111001
5571,gate,2,0000000000000000000000000000000000000000001100111110000111101001100101
5572,positive,4,0000000000000011100001101111111001111010011110100110100111101101100101
5573,resolution,5,1110010110010111100111101111110110011101011110100110100111011111101110
5574,rear,2,0000000000000000000000000000000000000000001110010110010111000011110010
5575,particles,3,0000000111000011000011110010111010011010011100011110110011001011110011
5576,reported,3,0000000000000011100101100101111000011011111110010111010011001011100100
5577,legend,2,0000000000000000000000000000110110011001011100111110010111011101100100
5578,resonant,3,0000000000000011100101100101111001111011111101110110000111011101110100
5579,exclusive,4,0000000110010111110001100011110110011101011110011110100111101101100101
5581,coord,2,0000000000000000000000000000000000011000111101111110111111100101100100
5582,marcel,2,0000000000000000000000000000110110111000011110010110001111001011101100
5583,penrose,3,0000000000000000000001110000110010111011101110010110111111100111100101
5585,ridge,2,0000000000000000000000000000000000011100101101001110010011001111100101
5586,v2s,0,0000000000000000000000000000000000000000000000000011101101100101110011
5587,fourgram,3,0000000000000011001101101111111010111100101100111111001011000011101101
5588,wireless,3,0000000000000011101111101001111001011001011101100110010111100111110011
5589,ghosh,1,0000000000000000000000000000000000011001111101000110111111100111101000
5590,physik,1,0000000000000000000000000000111000011010001111001111001111010011101011
5591,mild,1,0000000000000000000000000000000000000000001101101110100111011001100100
5592,modularity,4,1101101110111111001001110101110110011000011110010110100111101001111001
5593,elegan,3,0000000000000000000000000000110010111011001100101110011111000011101110
5594,decline,3,0000000000000000000001100100110010111000111101100110100111011101100101
5595,agency,2,0000000000000000000000000000110000111001111100101110111011000111111001
5596,wan,1,0000000000000000000000000000000000000000000000000111011111000011101110
5597,contract,2,0000000000000011000111101111110111011101001110010110000111000111110100
5598,ready,2,0000000000000000000000000000000000011100101100101110000111001001111001
5599,irradiance,5,1101001111001011100101100001110010011010011100001110111011000111100101
5600,birdsong,2,0000000000000011000101101001111001011001001110011110111111011101100111
5601,temporally,3,1110100110010111011011110000110111111100101100001110110011011001111001
5602,steep,2,0000000000000000000000000000000000011100111110100110010111001011110000
5603,mcreynold,2,0000000110110111000111110010110010111110011101110110111111011001100100
5604,viscosity,3,0000000111011011010011110011110001111011111110011110100111101001111001
5605,signifi,3,0000000000000000000001110011110100111001111101110110100111001101101001
5606,cit,1,0000000000000000000000000000000000000000000000000110001111010011110100
5607,fill,1,0000000000000000000000000000000000000000001100110110100111011001101100
5608,companion,4,0000000110001111011111101101111000011000011101110110100111011111101110
5609,security,3,0000000000000011100111100101110001111101011110010110100111101001111001
5610,lead,2,0000000000000000000000000000000000000000001101100110010111000011100100
5611,clip,1,0000000000000000000000000000000000000000001100011110110011010011110000
5612,sasb,1,0000000000000000000000000000000000000000001110011110000111100111100010
5613,manage,3,0000000000000000000000000000110110111000011101110110000111001111100101
5614,pcg,0,0000000000000000000000000000000000000000000000000111000011000111100111
5615,thermore,3,0000000000000011101001101000110010111100101101101110111111100101100101
5616,floor,2,0000000000000000000000000000000000011001101101100110111111011111110010
5617,dij,1,0000000000000000000000000000000000000000000000000110010011010011101010
5618,format,2,0000000000000000000000000000110011011011111110010110110111000011110100
5619,torques,3,0000000000000000000001110100110111111100101110001111010111001011110011
5620,craven,2,0000000000000000000000000000110001111100101100001111011011001011101110
5622,rectangles,3,1110010110010111000111110100110000111011101100111110110011001011110011
5623,johnston,2,0000000000000011010101101111110100011011101110011111010011011111101110
5624,henceforth,3,1101000110010111011101100011110010111001101101111111001011101001101000
5625,audition,5,0000000000000011000011110101110010011010011110100110100111011111101110
5626,residence,4,0000000111001011001011110011110100111001001100101110111011000111100101
5627,reach,2,0000000000000000000000000000000000011100101100101110000111000111101000
5628,symmetric,2,0000000111001111110011101101110110111001011110100111001011010011100011
5629,mae,2,0000000000000000000000000000000000000000000000000110110111000011100101
5630,rcc,0,0000000000000000000000000000000000000000000000000111001011000111100011
5631,allowing,3,0000000000000011000011101100110110011011111110111110100111011101100111
5632,generic,3,0000000000000000000001100111110010111011101100101111001011010011100011
5633,ated,2,0000000000000000000000000000000000000000001100001111010011001011100100
5634,tude,2,0000000000000000000000000000000000000000001110100111010111001001100101
5635,ages,2,0000000000000000000000000000000000000000001100001110011111001011110011
5636,byte,1,0000000000000000000000000000000000000000001100010111100111101001100101
5637,dgement,2,0000000000000000000001100100110011111001011101101110010111011101110100
5638,doubly,2,0000000000000000000000000000110010011011111110101110001011011001111001
5639,mccallum,2,0000000000000011011011100011110001111000011101100110110011101011101101
5640,graduate,4,0000000000000011001111110010110000111001001110101110000111101001100101
5641,compress,2,0000000000000011000111101111110110111100001110010110010111100111110011
5642,weakly,2,0000000000000000000000000000111011111001011100001110101111011001111001
5643,analyse,3,0000000000000000000001100001110111011000011101100111100111100111100101
5644,mcmillan,2,0000000000000011011011100011110110111010011101100110110011000011101110
5645,terion,3,0000000000000000000000000000111010011001011110010110100111011111101110
5646,sionality,4,0000000111001111010011101111110111011000011101100110100111101001111001
5647,length,1,0000000000000000000000000000110110011001011101110110011111101001101000
5648,stochastic,3,1110011111010011011111100011110100011000011110011111010011010011100011
5649,inverter,3,0000000000000011010011101110111011011001011110010111010011001011110010
5650,myer,1,0000000000000000000000000000000000000000001101101111100111001011110010
5651,pulvinar,3,0000000000000011100001110101110110011101101101001110111011000011110010
5652,professor,3,0000000111000011100101101111110011011001011110011111001111011111110010
5653,corn,1,0000000000000000000000000000000000000000001100011110111111100101101110
5654,hopf,1,0000000000000000000000000000000000000000001101000110111111100001100110
5655,lay,1,0000000000000000000000000000000000000000000000000110110011000011111001
5656,eter,2,0000000000000000000000000000000000000000001100101111010011001011110010
5657,black,1,0000000000000000000000000000000000011000101101100110000111000111101011
5658,submitted,3,0000000111001111101011100010110110111010011110100111010011001011100100
5659,allocates,4,0000000110000111011001101100110111111000111100001111010011001011110011
5660,relaxing,3,0000000000000011100101100101110110011000011111000110100111011101100111
5661,tishby,1,0000000000000000000000000000111010011010011110011110100011000101111001
5662,developing,4,1100100110010111101101100101110110011011111110000110100111011101100111
5663,mediate,4,0000000000000000000001101101110010111001001101001110000111101001100101
5664,recurrent,3,0000000111001011001011100011111010111100101110010110010111011101110100
5665,underway,3,0000000000000011101011101110110010011001011110010111011111000011111001
5667,straint,2,0000000000000000000001110011111010011100101100001110100111011101110100
5668,nakahara,4,0000000000000011011101100001110101111000011101000110000111100101100001
5669,caution,4,0000000000000000000001100011110000111101011110100110100111011111101110
5670,poggio,3,0000000000000000000000000000111000011011111100111110011111010011101111
5671,astc,1,0000000000000000000000000000000000000000001100001111001111101001100011
5672,cynader,2,0000000000000000000001100011111100111011101100001110010011001011110010
5673,benefit,3,0000000000000000000001100010110010111011101100101110011011010011110100
5674,disorder,3,0000000000000011001001101001111001111011111110010110010011001011110010
5675,locates,3,0000000000000000000001101100110111111000111100001111010011001011110011
5676,cont,1,0000000000000000000000000000000000000000001100011110111111011101110100
5677,prey,1,0000000000000000000000000000000000000000001110000111001011001011111001
5678,suffi,2,0000000000000000000000000000000000011100111110101110011011001101101001
5679,namic,2,0000000000000000000000000000000000011011101100001110110111010011100011
5680,dam,1,0000000000000000000000000000000000000000000000000110010011000011101101
5681,schillen,2,0000000000000011100111100011110100011010011101100110110011001011101110
5683,fired,2,0000000000000000000000000000000000011001101101001111001011001011100100
5684,suit,2,0000000000000000000000000000000000000000001110011111010111010011110100
5685,wescon,2,0000000000000000000000000000111011111001011110011110001111011111101110
5687,tone,2,0000000000000000000000000000000000000000001110100110111111011101100101
5688,continu,3,0000000000000000000001100011110111111011101110100110100111011101110101
5689,trepan,2,0000000000000000000000000000111010011100101100101111000011000011101110
5690,equalizer,5,0000000110010111100011110101110000111011001101001111101011001011110010
5691,birch,1,0000000000000000000000000000000000011000101101001111001011000111101000
5692,broken,2,0000000000000000000000000000110001011100101101111110101111001011101110
5693,unary,2,0000000000000000000000000000000000011101011101110110000111100101111001
5694,babak,2,0000000000000000000000000000000000011000101100001110001011000011101011
5695,searches,3,0000000000000011100111100101110000111100101100011110100011001011110011
5696,bundle,2,0000000000000000000000000000110001011101011101110110010011011001100101
5697,imum,2,0000000000000000000000000000000000000000001101001110110111101011101101
5698,orponen,3,0000000000000000000001101111111001011100001101111110111011001011101110
5700,rabiner,3,0000000000000000000001110010110000111000101101001110111011001011110010
5702,bed,1,0000000000000000000000000000000000000000000000000110001011001011100100
5703,madison,3,0000000000000000000001101101110000111001001101001111001111011111101110
5704,cancer,2,0000000000000000000000000000110001111000011101110110001111001011110010
5705,occupant,3,0000000000000011011111100011110001111101011110000110000111011101110100
5706,baddeley,3,0000000000000011000101100001110010011001001100101110110011001011111001
5707,reflect,2,0000000000000000000001110010110010111001101101100110010111000111110100
5708,lakoff,2,0000000000000000000000000000110110011000011101011110111111001101100110
5710,figural,3,0000000000000000000001100110110100111001111110101111001011000011101100
5711,tex,1,0000000000000000000000000000000000000000000000000111010011001011111000
5712,swing,1,0000000000000000000000000000000000011100111110111110100111011101100111
5713,stimulus,3,0000000000000011100111110100110100111011011110101110110011101011110011
5715,resulted,3,0000000000000011100101100101111001111101011101100111010011001011100100
5716,fernando,3,0000000000000011001101100101111001011011101100001110111011001001101111
5717,positivity,4,1110000110111111100111101001111010011010011110110110100111101001111001
5718,marquardt,3,0000000110110111000011110010111000111101011100001111001011001001110100
5719,abound,3,0000000000000000000000000000110000111000101101111111010111011101100100
5720,art1,1,0000000000000000000000000000000000000000000110000111100101110100110001
5721,erlbaum,3,0000000000000000000001100101111001011011001100010110000111101011101101
5723,loo,2,0000000000000000000000000000000000000000000000000110110011011111101111
5724,saw,1,0000000000000000000000000000000000000000000000000111001111000011110111
5725,formulate,4,0000000110011011011111110010110110111101011101100110000111101001100101
5726,preferable,4,1110000111001011001011100110110010111100101100001110001011011001100101
5727,pull,1,0000000000000000000000000000000000000000001110000111010111011001101100
5728,blending,2,0000000000000011000101101100110010111011101100100110100111011101100111
5729,gatsby,1,0000000000000000000000000000110011111000011110100111001111000101111001
5730,mai,2,0000000000000000000000000000000000000000000000000110110111000011101001
5731,wasted,2,0000000000000000000000000000111011111000011110011111010011001011100100
5735,corner,2,0000000000000000000000000000110001111011111110010110111011001011110010
5736,charges,2,0000000000000000000001100011110100011000011110010110011111001011110011
5738,modulo,3,0000000000000000000000000000110110111011111100100111010111011001101111
5739,posteriori,5,1110000110111111100111110100110010111100101101001110111111100101101001
5740,gca,1,0000000000000000000000000000000000000000000000000110011111000111100001
5741,adaboost,4,0000000000000011000011100100110000111000101101111110111111100111110100
5742,modes,2,0000000000000000000000000000000000011011011101111110010011001011110011
5743,ocd,1,0000000000000000000000000000000000000000000000000110111111000111100100
5744,sification,5,1110011110100111001101101001110001111000011110100110100111011111101110
5745,bdcl,0,0000000000000000000000000000000000000000001100010110010011000111101100
5746,sparseness,3,1110011111000011000011110010111001111001011101110110010111100111110011
5747,alexandre,4,0000000110000111011001100101111100011000011101110110010011100101100101
5748,smallest,2,0000000000000011100111101101110000111011001101100110010111100111110100
5749,exposed,3,0000000000000000000001100101111100011100001101111111001111001011100100
5750,clue,2,0000000000000000000000000000000000000000001100011110110011101011100101
5752,prolonged,3,0000000111000011100101101111110110011011111101110110011111001011100100
5753,market,2,0000000000000000000000000000110110111000011110010110101111001011110100
5754,enhances,3,0000000000000011001011101110110100011000011101110110001111001011110011
5755,abl,1,0000000000000000000000000000000000000000000000000110000111000101101100
5757,sitting,2,0000000000000000000001110011110100111101001110100110100111011101100111
5758,public,2,0000000000000000000000000000111000011101011100010110110011010011100011
5759,provement,3,0000000111000011100101101111111011011001011101101110010111011101110100
5760,greatest,3,0000000000000011001111110010110010111000011110100110010111100111110100
5761,lamel,2,0000000000000000000000000000000000011011001100001110110111001011101100
5762,binaural,4,0000000000000011000101101001110111011000011110101111001011000011101100
5763,minsky,1,0000000000000000000000000000110110111010011101110111001111010111111001
5764,looo,3,0000000000000000000000000000000000000000001101100110111111011111101111
5765,brainstem,3,0000000110001011100101100001110100111011101110011111010011001011101101
5766,iil,2,0000000000000000000000000000000000000000000000000110100111010011101100
5767,locative,4,0000000000000011011001101111110001111000011110100110100111101101100101
5768,barr,1,0000000000000000000000000000000000000000001100010110000111100101110010
5769,catalog,3,0000000000000000000001100011110000111101001100001110110011011111100111
5770,christof,2,0000000000000011000111101000111001011010011110011111010011011111100110
5771,sidered,3,0000000000000000000001110011110100111001001100101111001011001011100100
5772,diagnosis,4,0000000110010011010011100001110011111011101101111111001111010011110011
5773,eeg,2,0000000000000000000000000000000000000000000000000110010111001011100111
5774,senior,3,0000000000000000000000000000111001111001011101110110100111011111110010
5775,parberry,2,0000000000000011100001100001111001011000101100101111001011100101111001
5776,fifteenth,3,0000000110011011010011100110111010011001011100101110111011101001101000
5777,imaginary,4,0000000110100111011011100001110011111010011101110110000111100101111001
5779,domination,5,1100100110111111011011101001110111011000011110100110100111011111101110
5780,diabetes,4,0000000000000011001001101001110000111000101100101111010011001011110011
5781,schaal,2,0000000000000000000000000000111001111000111101000110000111000011101100
5782,basri,2,0000000000000000000000000000000000011000101100001111001111100101101001
5783,able,2,0000000000000000000000000000000000000000001100001110001011011001100101
5784,kbann,1,0000000000000000000000000000000000011010111100010110000111011101101110
5785,includ,2,0000000000000000000000000000110100111011101100011110110011101011100100
5788,tum,1,0000000000000000000000000000000000000000000000000111010011101011101101
5789,reliably,3,0000000000000011100101100101110110011010011100001110001011011001111001
5790,eoo,3,0000000000000000000000000000000000000000000000000110010111011111101111
5791,degraded,3,0000000000000011001001100101110011111100101100001110010011001011100100
5792,open,2,0000000000000000000000000000000000000000001101111111000011001011101110
5793,scattering,3,1110011110001111000011110100111010011001011110010110100111011101100111
5794,perceive,4,0000000000000011100001100101111001011000111100101110100111101101100101
5795,antecedent,4,1100001110111011101001100101110001111001011100100110010111011101110100
5796,occipital,4,0000000110111111000111100011110100111100001101001111010011000011101100
5797,type,1,0000000000000000000000000000000000000000001110100111100111100001100101
5798,temporary,3,0000000111010011001011101101111000011011111110010110000111100101111001
5799,stripe,2,0000000000000000000000000000111001111101001110010110100111100001100101
5800,bpl,0,0000000000000000000000000000000000000000000000000110001011100001101100
5801,basal,2,0000000000000000000000000000000000011000101100001111001111000011101100
5802,needing,3,0000000000000000000001101110110010111001011100100110100111011101100111
5803,kde,1,0000000000000000000000000000000000000000000000000110101111001001100101
5804,lba,1,0000000000000000000000000000000000000000000000000110110011000101100001
5805,vitro,2,0000000000000000000000000000000000011101101101001111010011100101101111
5806,tentative,4,0000000111010011001011101110111010011000011110100110100111101101100101
5807,facial,3,0000000000000000000000000000110011011000011100011110100111000011101100
5808,quenched,3,0000000000000011100011110101110010111011101100011110100011001011100100
5809,dist,1,0000000000000000000000000000000000000000001100100110100111100111110100
5810,matching,2,0000000000000011011011100001111010011000111101000110100111011101100111
5811,putative,4,0000000000000011100001110101111010011000011110100110100111101101100101
5812,technische,3,1110100110010111000111101000110111011010011110011110001111010001100101
5813,cancelling,3,1100011110000111011101100011110010111011001101100110100111011101100111
5814,fer,1,0000000000000000000000000000000000000000000000000110011011001011110010
5815,email,3,0000000000000000000000000000000000011001011101101110000111010011101100
5816,wlu,1,0000000000000000000000000000000000000000000000000111011111011001110101
5817,nir,1,0000000000000000000000000000000000000000000000000110111011010011110010
5818,neu,2,0000000000000000000000000000000000000000000000000110111011001011110101
5819,generafive,5,1100111110010111011101100101111001011000011100110110100111101101100101
5820,inhibitory,4,1101001110111011010001101001110001011010011110100110111111100101111001
5821,intensity,3,0000000110100111011101110100110010111011101110011110100111101001111001
5822,doina,3,0000000000000000000000000000000000011001001101111110100111011101100001
5823,infor,2,0000000000000000000000000000000000011010011101110110011011011111110010
5824,try,0,0000000000000000000000000000000000000000000000000111010011100101111001
5825,australian,5,1100001111010111100111110100111001011000011101100110100111000011101110
5826,adult,2,0000000000000000000000000000000000011000011100100111010111011001110100
5827,pda,1,0000000000000000000000000000000000000000000000000111000011001001100001
5828,raising,3,0000000000000000000001110010110000111010011110011110100111011101100111
5829,substances,3,1110011111010111000101110011111010011000011101110110001111001011110011
5830,trimming,2,0000000000000011101001110010110100111011011101101110100111011101100111
5831,jitter,2,0000000000000000000000000000110101011010011110100111010011001011110010
5833,swindale,3,0000000000000011100111110111110100111011101100100110000111011001100101
5834,chess,1,0000000000000000000000000000000000011000111101000110010111100111110011
5836,mensional,4,0000000110110111001011101110111001111010011101111110111011000011101100
5837,landscape,3,0000000110110011000011101110110010011100111100011110000111100001100101
5838,retinex,3,0000000000000000000001110010110010111101001101001110111011001011111000
5839,acceptor,3,0000000000000011000011100011110001111001011110000111010011011111110010
5840,gateway,3,0000000000000000000001100111110000111101001100101111011111000011111001
5841,angles,2,0000000000000000000000000000110000111011101100111110110011001011110011
5842,conse,2,0000000000000000000000000000000000011000111101111110111011100111100101
5844,disappear,4,0000000110010011010011110011110000111100001110000110010111000011110010
5845,lisberger,3,0000000110110011010011110011110001011001011110010110011111001011110010
5847,hyperplane,3,1101000111100111100001100101111001011100001101100110000111011101100101
5848,equally,3,0000000000000000000001100101111000111101011100001110110011011001111001
5849,impaired,4,0000000000000011010011101101111000011000011101001111001011001011100100
5850,unobserved,4,1110101110111011011111100010111001111001011110010111011011001011100100
5851,sampler,2,0000000000000000000001110011110000111011011110000110110011001011110010
5852,scofield,3,0000000000000011100111100011110111111001101101001110010111011001100100
5854,isolated,4,0000000000000011010011110011110111111011001100001111010011001011100100
5855,issues,3,0000000000000000000000000000110100111100111110011111010111001011110011
5856,expression,4,1100101111100011100001110010110010111100111110011110100111011111101110
5857,advance,3,0000000000000000000001100001110010011101101100001110111011000111100101
5858,segmenting,3,1110011110010111001111101101110010111011101110100110100111011101100111
5859,mse,1,0000000000000000000000000000000000000000000000000110110111100111100101
5860,kandel,2,0000000000000000000000000000110101111000011101110110010011001011101100
5861,assessment,3,1100001111001111100111100101111001111100111101101110010111011101110100
5862,filler,2,0000000000000000000000000000110011011010011101100110110011001011110010
5864,rfwr,0,0000000000000000000000000000000000000000001110010110011011101111110010
5866,lyl,0,0000000000000000000000000000000000000000000000000110110011110011101100
5867,nonlocal,3,0000000000000011011101101111110111011011001101111110001111000011101100
5868,rodney,2,0000000000000000000000000000111001011011111100100110111011001011111001
5869,isih,2,0000000000000000000000000000000000000000001101001111001111010011101000
5870,asked,2,0000000000000000000000000000000000011000011110011110101111001011100100
5871,mor,1,0000000000000000000000000000000000000000000000000110110111011111110010
5872,steadily,3,0000000000000011100111110100110010111000011100100110100111011001111001
5873,tagging,2,0000000000000000000001110100110000111001111100111110100111011101100111
5874,gerstein,3,0000000000000011001111100101111001011100111110100110010111010011101110
5875,low,1,0000000000000000000000000000000000000000000000000110110011011111110111
5876,arousal,4,0000000000000000000001100001111001011011111110101111001111000011101100
5877,planar,2,0000000000000000000000000000111000011011001100001110111011000011110010
5879,oscillate,4,0000000110111111100111100011110100111011001101100110000111101001100101
5880,universit6,4,0111010111011101101001111011011001011110010111001111010011110100110110
5881,presence,3,0000000000000011100001110010110010111100111100101110111011000111100101
5882,seg,1,0000000000000000000000000000000000000000000000000111001111001011100111
5883,tertiary,3,0000000000000011101001100101111001011101001101001110000111100101111001
5884,molecular,4,0000000110110111011111101100110010111000111110101110110011000011110010
5885,usage,3,0000000000000000000000000000000000011101011110011110000111001111100101
5886,subgroup,3,0000000000000011100111110101110001011001111110010110111111101011110000
5887,appearing,4,0000000110000111100001110000110010111000011110010110100111011101100111
5888,bucket,2,0000000000000000000000000000110001011101011100011110101111001011110100
5890,teach,2,0000000000000000000000000000000000011101001100101110000111000111101000
5891,ezist,2,0000000000000000000000000000000000011001011111010110100111100111110100
5892,featural,4,0000000000000011001101100101110000111101001110101111001011000011101100
5894,generated,4,0000000110011111001011101110110010111100101100001111010011001011100100
5895,scaling,2,0000000000000000000001110011110001111000011101100110100111011101100111
5896,occluded,3,0000000000000011011111100011110001111011001110101110010011001011100100
5897,tectum,2,0000000000000000000000000000111010011001011100011111010011101011101101
5898,receiver,4,0000000000000011100101100101110001111001011101001111011011001011110010
5899,gallinari,4,0000000110011111000011101100110110011010011101110110000111100101101001
5900,fel,1,0000000000000000000000000000000000000000000000000110011011001011101100
5902,bow,1,0000000000000000000000000000000000000000000000000110001011011111110111
5903,oper,2,0000000000000000000000000000000000000000001101111111000011001011110010
5904,weakness,3,0000000000000011101111100101110000111010111101110110010111100111110011
5905,aut,2,0000000000000000000000000000000000000000000000000110000111101011110100
5906,traced,2,0000000000000000000000000000111010011100101100001110001111001011100100
5907,altos,2,0000000000000000000000000000000000011000011101100111010011011111110011
5908,markel,2,0000000000000000000000000000110110111000011110010110101111001011101100
5909,minute,3,0000000000000000000000000000110110111010011101110111010111101001100101
5910,repair,3,0000000000000000000000000000111001011001011110000110000111010011110010
5911,ferragamo,4,0000000110011011001011110010111001011000011100111110000111011011101111
5912,tistical,3,0000000000000011101001101001111001111101001101001110001111000011101100
5913,excitatory,4,1100101111100011000111101001111010011000011110100110111111100101111001
5914,freund,2,0000000000000000000000000000110011011100101100101111010111011101100100
5915,segregated,4,1110011110010111001111110010110010111001111100001111010011001011100100
5916,transition,4,1110100111001011000011101110111001111010011110100110100111011111101110
5917,technology,3,1110100110010111000111101000110111011011111101100110111111001111111001
5918,posi,2,0000000000000000000000000000000000000000001110000110111111100111101001
5919,spova,2,0000000000000000000000000000000000011100111110000110111111101101100001
5920,mel,1,0000000000000000000000000000000000000000000000000110110111001011101100
5921,handled,2,0000000000000000000001101000110000111011101100100110110011001011100100
5922,khz,0,0000000000000000000000000000000000000000000000000110101111010001111010
5924,modules,3,0000000000000000000001101101110111111001001110101110110011001011110011
5925,sional,3,0000000000000000000000000000111001111010011101111110111011000011101100
5926,sse,1,0000000000000000000000000000000000000000000000000111001111100111100101
5928,triples,2,0000000000000000000001110100111001011010011110000110110011001011110011
5929,analytic,3,0000000000000011000011101110110000111011001111001111010011010011100011
5930,angle,2,0000000000000000000000000000000000011000011101110110011111011001100101
5931,cerebral,3,0000000000000011000111100101111001011001011100010111001011000011101100
5932,rotation,4,0000000000000011100101101111111010011000011110100110100111011111101110
5933,menzel,2,0000000000000000000000000000110110111001011101110111101011001011101100
5934,simu,2,0000000000000000000000000000000000000000001110011110100111011011110101
5935,matical,3,0000000000000000000001101101110000111101001101001110001111000011101100
5936,lecun,2,0000000000000000000000000000000000011011001100101110001111101011101110
5937,font,1,0000000000000000000000000000000000000000001100110110111111011101110100
5938,inferring,3,0000000110100111011101100110110010111100101110010110100111011101100111
5940,legal,2,0000000000000000000000000000000000011011001100101110011111000011101100
5944,lebiere,4,0000000000000000000001101100110010111000101101001110010111100101100101
5945,summarizes,4,1110011111010111011011101101110000111100101101001111101011001011110011
5948,tances,2,0000000000000000000000000000111010011000011101110110001111001011110011
5949,tank,1,0000000000000000000000000000000000000000001110100110000111011101101011
5950,bvm,0,0000000000000000000000000000000000000000000000000110001011101101101101
5951,symmetries,3,1110011111100111011011101101110010111101001110010110100111001011110011
5952,outlined,4,0000000000000011011111110101111010011011001101001110111011001011100100
5953,shikano,3,0000000000000000000001110011110100011010011101011110000111011101101111
5954,erp,1,0000000000000000000000000000000000000000000000000110010111100101110000
5955,broad,2,0000000000000000000000000000000000011000101110010110111111000011100100
5956,installed,3,0000000110100111011101110011111010011000011101100110110011001011100100
5957,erf,1,0000000000000000000000000000000000000000000000000110010111100101100110
5958,money,2,0000000000000000000000000000000000011011011101111110111011001011111001
5959,sphering,2,0000000000000011100111110000110100011001011110010110100111011101100111
5960,thin,1,0000000000000000000000000000000000000000001110100110100011010011101110
5961,mining,2,0000000000000000000000000000110110111010011101110110100111011101100111
5962,male,2,0000000000000000000000000000000000000000001101101110000111011001100101
5963,dmm,0,0000000000000000000000000000000000000000000000000110010011011011101101
5964,tech,1,0000000000000000000000000000000000000000001110100110010111000111101000
5965,large,2,0000000000000000000000000000000000011011001100001111001011001111100101
5966,injected,3,0000000000000011010011101110110101011001011100011111010011001011100100
5967,ating,2,0000000000000000000000000000000000011000011110100110100111011101100111
5968,leading,3,0000000000000000000001101100110010111000011100100110100111011101100111
5969,inaij,3,0000000000000000000000000000000000011010011101110110000111010011101010
5970,damage,3,0000000000000000000000000000110010011000011101101110000111001111100101
5971,persistent,3,1110000110010111100101110011110100111100111110100110010111011101110100
5972,rudower,3,0000000000000000000001110010111010111001001101111111011111001011110010
5973,retaining,4,0000000111001011001011110100110000111010011101110110100111011101100111
5974,barto,2,0000000000000000000000000000000000011000101100001111001011101001101111
5975,crustacean,4,1100011111001011101011110011111010011000011100011110010111000011101110
5976,top,1,0000000000000000000000000000000000000000000000000111010011011111110000
5977,lesioned,4,0000000000000011011001100101111001111010011101111110111011001011100100
5978,tst,0,0000000000000000000000000000000000000000000000000111010011100111110100
5979,roach,2,0000000000000000000000000000000000011100101101111110000111000111101000
5980,unvoiced,4,0000000000000011101011101110111011011011111101001110001111001011100100
5981,refered,3,0000000000000000000001110010110010111001101100101111001011001011100100
5982,extension,4,0000000110010111110001110100110010111011101110011110100111011111101110
5983,entire,3,0000000000000000000000000000110010111011101110100110100111100101100101
5984,spaces,2,0000000000000000000000000000111001111100001100001110001111001011110011
5985,extending,3,0000000110010111110001110100110010111011101100100110100111011101100111
5986,lumped,2,0000000000000000000000000000110110011101011101101111000011001011100100
5987,joshua,3,0000000000000000000000000000110101011011111110011110100011101011100001
5988,havior,3,0000000000000000000000000000110100011000011110110110100111011111110010
5989,associates,5,1100001111001111100111101111110001111010011100001111010011001011110011
5990,duced,2,0000000000000000000000000000000000011001001110101110001111001011100100
